id,name,a,b,c
1,150,1.0,1.0,1.0
2,150r,0.9999991686107286,1.000000102958372,0.9999994344753527
3,149,0.9998612541286781,0.999941460593333,0.9999056402173118
4,1,0.9962013137528503,1.0012026015382467,0.995965826344341
5,2,,1.0009724861720308,
6,3,,,0.9942817356964571
7,7,0.9931898970349097,1.0022484798673388,0.9935449730176535
8,4,,,0.9937554537951923
9,5,,,0.9929446464573337
10,6,,,0.9922528225991937
11,8,0.9910061540141064,1.0028499822131105,0.9919010529515839
12,12,,1.002554175916298,
13,9,0.9895186757124522,,
14,13,0.9887407388637097,1.0033878868968564,0.9894287591154537
15,9r,0.9895171696786811,,
16,14,0.9878231029655451,,
17,34,,,0.9884320551144615
18,18,0.9858489536837413,1.0045759739899238,0.9869773216702521
19,11,0.9871567632077336,,
20,10,0.9874917981111327,,
21,15,,,0.9880373653329567
22,16,,,0.9870501067065445
23,17,,,0.9875765487475674
24,19,0.9845390356517445,,
25,21,0.9859558025630388,1.0048266115064437,0.9865031865459643
26,20,0.9836909722976312,,
27,22,,1.0033772613518035,
28,23,0.9861031822342913,1.0051564568923461,0.9858964989054996
29,24,,,0.9844484351108785
30,25,0.985959339508429,1.0055859561382667,0.9852765820017351
31,25r,0.9859573513700994,,0.9852745963890109
32,26,0.9857028174313149,,0.984774161930473
33,28,0.9859643133105356,1.0057980108039426,0.9851306477470966
34,27,0.9853432716135103,,0.9847391480904147
35,31,,,0.98418160233381
36,33,0.9840244301393465,,
37,29,0.9859141236391497,1.0059503724266592,0.9848798944099662
38,30,0.9863020195294928,1.0059133783964571,0.9846626668351561
39,250,0.986373335371578,1.0059171143766719,0.9847999561376065
40,32,,,0.9837864347108735
41,35,0.9848369924282749,1.0041403694704047,0.9870172172874244
42,36,0.9839260340554647,1.0036442761844016,
43,40,0.9843776678908106,1.0039486624005882,0.9867933812954409
44,37,0.9831541513910279,,
45,38,,1.0029797775938427,
46,39,,1.0025525320951845,
47,41,,,0.9863654155658936
48,42,0.9838453975751051,1.003775684105337,0.9867324615328941
49,43,,1.0024082756715849,
50,44,0.983460301461392,1.003648554392009,0.9865502137784404
51,45,0.9829373475477021,,
52,47,0.9833029569771689,1.0033065536509935,0.9863538868919894
53,46,0.982542106650483,,
54,48,0.983204388383895,1.0031585993027043,0.9862846215588631
55,49,0.9833089570545216,1.0030863980388882,0.9863255191120205
56,50,0.9833796859886027,1.0031847980933137,0.986044649624619
57,51,0.983304903246444,1.0033370407656468,0.9860905752245901
58,151,0.9834812964133187,1.0034850811271299,0.9862141719229459
59,52,0.9863002240333637,1.0035454330342057,0.9877228831851804
60,53,0.9853169503710255,1.0034975681999292,0.9868981924995168
61,54,0.9848654155839228,1.0033752772079432,0.9863982534711729
62,55,0.9846588985606803,1.0032961690057631,0.9864697847903489
63,57,0.9837833747925898,1.0023757882524549,0.9850471658093962
64,56,0.9846289562226377,1.0031172481192001,0.9865584393699046
65,58,,1.0017106189349472,
66,60,0.9815382915092997,1.0004969766097622,0.9815174509299227
67,59,,1.001381919691833,
68,61,0.9817110803589929,1.0005730479109876,0.9816246162974108
69,62,0.9814589625423781,0.9998373303546821,0.9801133113924556
70,63,0.9813397801458905,0.9993055487606298,0.9795650965898608
71,64,0.9815326337975009,0.9978048587516233,0.9778938895511576
72,65,0.9814488537717602,0.9979676324472749,0.9754741320025607
73,66,0.9816799157857933,0.9981949452400681,0.9739675898557145
74,67,0.9617553510397042,0.9562889857418976,0.9613023085110386
75,68,0.9601741118298138,,
76,72,0.9613995636043282,0.9550770644022353,0.9603448813885669
77,97,0.9618595282765119,0.956545875051462,0.9612582447671709
78,69,0.9583598500458517,,
79,70,0.9570721095367188,,
80,71,0.9563450849733034,,
81,73,,,0.958134211988711
82,76,0.9607494472400486,0.9543346155008757,0.9604364302730438
83,74,,,0.9562408449452928
84,75,,,0.9551834518256146
85,77,0.9601718514649297,0.9536507210820754,0.9597284094410423
86,86,0.9603519894947945,0.9540889680178637,0.9621562385823621
87,78,0.9600407993225393,0.9536098652928982,0.9594871780920654
88,79,0.9597292141799779,0.9537506962726885,0.9594327807588827
89,80,0.9600759426275284,0.9531183376610066,0.9584554660138163
90,81,0.9601123510474527,0.9531650111362865,0.9579626923181924
91,82,0.9598807690635637,0.9532923877484758,0.9577434331470431
92,84,,,0.9552904766699458
93,83,0.9599755105516742,0.95327219911125,0.957581199589752
94,85,,,0.9540347377459624
95,87,0.9596345705076431,0.9537010172304349,0.9625567873293163
96,88,0.9591720442329531,,
97,89,0.9595916572152406,0.9536597138474402,0.9626881371067895
98,90,,0.9529803949962498,
99,91,0.9595875571625855,0.9539265946063074,0.9626478687370205
100,92,,,0.9618554786146465
101,93,0.9594024972918116,0.953959817380658,0.9627355429162194
102,94,0.9586757170559007,,
103,95,0.9593622591488798,0.9535694160558806,0.9629272869095866
104,96,,0.9533048949341794,
105,98,0.961775056019307,0.956545663075965,0.9612810279649053
106,99,0.9623222846752384,0.9562212651234875,0.9614143804913217
107,100,0.9625681355141059,0.9561581699157616,0.9612620848652774
108,450,0.9625681355141059,0.9561581699157616,0.9612620848652775
109,197,0.9618469608318121,0.956542696686654,0.9612508439631938
110,101,0.9617180009247813,0.9566419482204126,0.9609331198289989
111,102,,,0.9594502306604284
112,105,0.9610138309190701,0.956982497773119,0.9610679423100068
113,103,,,0.9577346256120325
114,104,,,0.9558851460477822
115,106,,0.9557939775386419,
116,108,0.9600549024260219,0.9577288649446722,0.9607858749651003
117,107,,0.9542741974096264,
118,109,0.9558628965668827,,
119,300,0.9600549024260219,0.9577288649446722,0.9607858749651003
120,110,0.9538534631543775,,
121,111,0.9530930329739155,,
122,112,0.9531803248183875,,
123,113,0.951056288209862,,
124,114,0.9506262427722424,,
125,135,0.9859097328073109,1.0045335201947452,0.9869786429777404
126,152,0.9887856424137439,1.003345379966059,0.9894206994251554
127,160r,0.9632038528001636,0.9566714844013154,0.9631939708329283
128,160,0.9816090219619504,1.0004407680013758,0.9815989511673158
129,61s,0.9817149381049779,1.0005765617329185,0.9816280986100838
130,610,0.9817220800390528,1.000577692651332,0.9816270989224283
