id,Pa,Qa,Pb,Qb,Pc,Qc,CapA,CapB,CapC,PgA,PgB,PgC,name,bus_type,Vln,v_ln_base,s_base
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,node_211,PQ,7199.557856794634,7199.557856794634,1000000.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,node_93,PQ,7199.557856794634,7199.557856794634,1000000.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,node_209,PQ,7199.557856794634,7199.557856794634,1000000.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,node_85,PQ,7199.557856794634,7199.557856794634,1000000.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,node_207,PQ,7199.557856794634,7199.557856794634,1000000.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,node_64,PQ,7199.557856794634,7199.557856794634,1000000.0
8,0.0102603761999999,0.0030612537999999,0.0107253717,0.0031782271999999,0.0104320447,0.0031037766,0.0,0.0,0.0,0.0,0.0,0.0,node_285,PQ,7199.557856794634,7199.557856794634,1000000.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,node_205,PQ,7199.557856794634,7199.557856794634,1000000.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,node_62,PQ,7199.557856794634,7199.557856794634,1000000.0
11,0.0,0.0,0.0064352229999999,0.0019069363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,node_283,PQ,7199.557856794634,7199.557856794634,1000000.0
