# file...... output/power_losses.csv
# date...... Wed Mar 15 12:33:31 2023
# user...... nathangray
# host...... (null)
# group..... class=overhead_line
# trigger... (none)
# interval.. 1
# limit..... 0
# property.. timestamp,sum(power_losses.real)
2001-08-01 12:00:00 PDT,+14578.8347504
2001-08-01 12:00:01 PDT,+14578.8345797
2001-08-01 12:00:02 PDT,+14578.834579
2001-08-01 12:00:03 PDT,+14578.8345789
2001-08-01 12:00:04 PDT,+14578.8345789
2001-08-01 12:00:05 PDT,+14578.8345789
2001-08-01 12:00:06 PDT,+14578.8345789
2001-08-01 12:00:07 PDT,+14578.8345789
2001-08-01 12:00:08 PDT,+14578.8345789
2001-08-01 12:00:09 PDT,+14578.8345789
2001-08-01 12:00:10 PDT,+14578.8345789
2001-08-01 12:00:11 PDT,+14578.8345789
2001-08-01 12:00:12 PDT,+14578.8345789
2001-08-01 12:00:13 PDT,+14578.8345789
2001-08-01 12:00:14 PDT,+14578.8345789
2001-08-01 12:00:15 PDT,+14578.8345789
2001-08-01 12:00:16 PDT,+14578.8345789
2001-08-01 12:00:17 PDT,+14578.8345789
2001-08-01 12:00:18 PDT,+14578.8345789
2001-08-01 12:00:19 PDT,+14578.8345789
2001-08-01 12:00:20 PDT,+14578.8345789
2001-08-01 12:00:21 PDT,+14578.8345789
2001-08-01 12:00:22 PDT,+14578.8345789
2001-08-01 12:00:23 PDT,+14578.8345789
2001-08-01 12:00:24 PDT,+14578.8345789
2001-08-01 12:00:25 PDT,+14578.8345789
2001-08-01 12:00:26 PDT,+14578.8345789
2001-08-01 12:00:27 PDT,+14578.8345789
2001-08-01 12:00:28 PDT,+14578.8345789
2001-08-01 12:00:29 PDT,+14578.8345789
2001-08-01 12:00:30 PDT,+14578.8345789
2001-08-01 12:00:31 PDT,+14578.8345789
2001-08-01 12:00:32 PDT,+14578.8345789
2001-08-01 12:00:33 PDT,+14578.8345789
2001-08-01 12:00:34 PDT,+14578.8345789
2001-08-01 12:00:35 PDT,+14578.8345789
2001-08-01 12:00:36 PDT,+14578.8345789
2001-08-01 12:00:37 PDT,+14578.8345789
2001-08-01 12:00:38 PDT,+14578.8345789
2001-08-01 12:00:39 PDT,+14578.8345789
2001-08-01 12:00:40 PDT,+14578.8345789
2001-08-01 12:00:41 PDT,+14578.8345789
2001-08-01 12:00:42 PDT,+14578.8345789
2001-08-01 12:00:43 PDT,+14578.8345789
2001-08-01 12:00:44 PDT,+14578.8345789
2001-08-01 12:00:45 PDT,+14578.8345789
2001-08-01 12:00:46 PDT,+14578.8345789
2001-08-01 12:00:47 PDT,+14578.8345789
2001-08-01 12:00:48 PDT,+14578.8345789
2001-08-01 12:00:49 PDT,+14578.8345789
2001-08-01 12:00:50 PDT,+14578.8345789
2001-08-01 12:00:51 PDT,+14578.8345789
2001-08-01 12:00:52 PDT,+14578.8345789
2001-08-01 12:00:53 PDT,+14578.8345789
2001-08-01 12:00:54 PDT,+14578.8345789
2001-08-01 12:00:55 PDT,+14578.8345789
2001-08-01 12:00:56 PDT,+14578.8345789
2001-08-01 12:00:57 PDT,+14578.8345789
2001-08-01 12:00:58 PDT,+14578.8345789
2001-08-01 12:00:59 PDT,+14578.8345789
2001-08-01 12:01:00 PDT,+14578.8345789
2001-08-01 12:01:01 PDT,+14578.8345789
2001-08-01 12:01:02 PDT,+14578.8345789
2001-08-01 12:01:03 PDT,+14578.8345789
2001-08-01 12:01:04 PDT,+14578.8345789
2001-08-01 12:01:05 PDT,+14578.8345789
2001-08-01 12:01:06 PDT,+14578.8345789
2001-08-01 12:01:07 PDT,+14578.8345789
2001-08-01 12:01:08 PDT,+14578.8345789
2001-08-01 12:01:09 PDT,+14578.8345789
2001-08-01 12:01:10 PDT,+14578.8345789
2001-08-01 12:01:11 PDT,+14578.8345789
2001-08-01 12:01:12 PDT,+14578.8345789
2001-08-01 12:01:13 PDT,+14578.8345789
